https://ja.wikipedia.org/wiki/JIS_X_0213%E6%BC%A2%E5%AD%97%E4%B8%80%E8%A6%A7%E3%81%AE2%E9%9D%A2
2面1区
文字 	面区点 	Shift_JIS-2004 	Unicode 	水準 	備考
岦 	2-08-35 	0xF0C1 	U+5CA6 	第4水準 	
岧 	2-08-36 	0xF0C2 	U+5CA7 	第4水準 	
𡶒 	2-08-37 	0xF0C3 	U+21D92 	第4水準 	
岭 	2-08-38 	0xF0C4 	U+5CAD 	第4水準 	
岵 	2-08-39 	0xF0C5 	U+5CB5 	第4水準 	
𡶷 	2-08-40 	0xF0C6 	U+21DB7 	第4水準 	
峉 	2-08-41 	0xF0C7 	U+5CC9 	第4水準 	
𡷠 	2-08-42 	0xF0C8 	U+21DE0 	第4水準 	
𡸳 	2-08-43 	0xF0C9 	U+21E33 	第4水準 	
崆 	2-08-44 	0xF0CA 	U+5D06 	第4水準 	
崐 	2-08-45 	0xF0CB 	U+5D10 	第4水準 	
崫 	2-08-46 	0xF0CC 	U+5D2B 	第4水準 	
崝 	2-08-47 	0xF0CD 	U+5D1D 	第4水準 	
崠 	2-08-48 	0xF0CE 	U+5D20 	第4水準 	
崤 	2-08-49 	0xF0CF 	U+5D24 	第4水準 	
崦 	2-08-50 	0xF0D0 	U+5D26 	第4水準 	
崱 	2-08-51 	0xF0D1 	U+5D31 	第4水準 	
崹 	2-08-52 	0xF0D2 	U+5D39 	第4水準 	
嵂 	2-08-53 	0xF0D3 	U+5D42 	第4水準 	
㟨 	2-08-54 	0xF0D4 	U+37E8 	第4水準 	
嵡 	2-08-55 	0xF0D5 	U+5D61 	第4水準 	
嵪 	2-08-56 	0xF0D6 	U+5D6A 	第4水準 	
㟴 	2-08-57 	0xF0D7 	U+37F4 	第4水準 	
嵰 	2-08-58 	0xF0D8 	U+5D70 	第4水準 	
𡼞 	2-08-59 	0xF0D9 	U+21F1E 	第4水準 	
㟽 	2-08-60 	0xF0DA 	U+37FD 	第4水準 	
嶈 	2-08-61 	0xF0DB 	U+5D88 	第4水準 	
㠀 	2-08-62 	0xF0DC 	U+3800 	第4水準 	
嶒 	2-08-63 	0xF0DD 	U+5D92 	第4水準 	
嶔 	2-08-64 	0xF0DE 	U+5D94 	第4水準 	
嶗 	2-08-65 	0xF0DF 	U+5D97 	第4水準 	
嶙 	2-08-66 	0xF0E0 	U+5D99 	第4水準 	
嶰 	2-08-67 	0xF0E1 	U+5DB0 	第4水準 	
嶲 	2-08-68 	0xF0E2 	U+5DB2 	第4水準 	
嶴 	2-08-69 	0xF0E3 	U+5DB4 	第4水準 	
𡽶 	2-08-70 	0xF0E4 	U+21F76 	第4水準 	
嶹 	2-08-71 	0xF0E5 	U+5DB9 	第4水準 	
巑 	2-08-72 	0xF0E6 	U+5DD1 	第4水準 	
巗 	2-08-73 	0xF0E7 	U+5DD7 	第4水準 	
巘 	2-08-74 	0xF0E8 	U+5DD8 	第4水準 	
巠 	2-08-75 	0xF0E9 	U+5DE0 	第4水準 	
𡿺 	2-08-76 	0xF0EA 	U+21FFA 	第4水準 	
巤 	2-08-77 	0xF0EB 	U+5DE4 	第4水準 	
巩 	2-08-78 	0xF0EC 	U+5DE9 	第4水準 	
㠯 	2-08-79 	0xF0ED 	U+382F 	第4水準 	
帀 	2-08-80 	0xF0EE 	U+5E00 	第4水準 	
㠶 	2-08-81 	0xF0EF 	U+3836 	第4水準 	
帒 	2-08-82 	0xF0F0 	U+5E12 	第4水準 	
帕 	2-08-83 	0xF0F1 	U+5E15 	第4水準 	
㡀 	2-08-84 	0xF0F2 	U+3840 	第4水準 	
帟 	2-08-85 	0xF0F3 	U+5E1F 	第4水準 	
帮 	2-08-86 	0xF0F4 	U+5E2E 	第4水準 	
帾 	2-08-87 	0xF0F5 	U+5E3E 	第4水準 	
幉 	2-08-88 	0xF0F6 	U+5E49 	第4水準 	
㡜 	2-08-89 	0xF0F7 	U+385C 	第4水準 	
幖 	2-08-90 	0xF0F8 	U+5E56 	第4水準 	
㡡 	2-08-91 	0xF0F9 	U+3861 	第4水準 	
幫 	2-08-92 	0xF0FA 	U+5E6B 	第4水準 	
幬 	2-08-93 	0xF0FB 	U+5E6C 	第4水準 	
幭 	2-08-94 	0xF0FC 	U+5E6D 	第4水準 	
2面12区
文字 	面区点 	Shift_JIS-2004 	Unicode 	水準 	備考
幮 	2-12-01 	0xF29F 	U+5E6E 	第4水準 	
𢅻 	2-12-02 	0xF2A0 	U+2217B 	第4水準 	
庥 	2-12-03 	0xF2A1 	U+5EA5 	第4水準 	
庪 	2-12-04 	0xF2A2 	U+5EAA 	第4水準 	
庬 	2-12-05 	0xF2A3 	U+5EAC 	第4水準 	
庹 	2-12-06 	0xF2A4 	U+5EB9 	第4水準 	
庿 	2-12-07 	0xF2A5 	U+5EBF 	第4水準 	
廆 	2-12-08 	0xF2A6 	U+5EC6 	第4水準 	
廒 	2-12-09 	0xF2A7 	U+5ED2 	第4水準 	
廙 	2-12-10 	0xF2A8 	U+5ED9 	第4水準 	
𢌞 	2-12-11 	0xF2A9 	U+2231E 	第4水準 	
廽 	2-12-12 	0xF2AA 	U+5EFD 	第4水準 	
弈 	2-12-13 	0xF2AB 	U+5F08 	第4水準 	
弎 	2-12-14 	0xF2AC 	U+5F0E 	第4水準 	
弜 	2-12-15 	0xF2AD 	U+5F1C 	第4水準 	
𢎭 	2-12-16 	0xF2AE 	U+223AD 	第4水準 	
弞 	2-12-17 	0xF2AF 	U+5F1E 	第4水準 	
彇 	2-12-18 	0xF2B0 	U+5F47 	第4水準 	
彣 	2-12-19 	0xF2B1 	U+5F63 	第4水準 	
彲 	2-12-20 	0xF2B2 	U+5F72 	第4水準 	
彾 	2-12-21 	0xF2B3 	U+5F7E 	第4水準 	
徏 	2-12-22 	0xF2B4 	U+5F8F 	第4水準 	
徢 	2-12-23 	0xF2B5 	U+5FA2 	第4水準 	
徤 	2-12-24 	0xF2B6 	U+5FA4 	第4水準 	
徸 	2-12-25 	0xF2B7 	U+5FB8 	第4水準 	
忄 	2-12-26 	0xF2B8 	U+5FC4 	第4水準 	
㣺 	2-12-27 	0xF2B9 	U+38FA 	第4水準 	
忇 	2-12-28 	0xF2BA 	U+5FC7 	第4水準 	
忋 	2-12-29 	0xF2BB 	U+5FCB 	第4水準 	
忒 	2-12-30 	0xF2BC 	U+5FD2 	第4水準 	
忓 	2-12-31 	0xF2BD 	U+5FD3 	第4水準 	
忔 	2-12-32 	0xF2BE 	U+5FD4 	第4水準 	
忢 	2-12-33 	0xF2BF 	U+5FE2 	第4水準 	
忮 	2-12-34 	0xF2C0 	U+5FEE 	第4水準 	
忯 	2-12-35 	0xF2C1 	U+5FEF 	第4水準 	
忳 	2-12-36 	0xF2C2 	U+5FF3 	第4水準 	
忼 	2-12-37 	0xF2C3 	U+5FFC 	第4水準 	
㤗 	2-12-38 	0xF2C4 	U+3917 	第4水準 	
怗 	2-12-39 	0xF2C5 	U+6017 	第4水準 	
怢 	2-12-40 	0xF2C6 	U+6022 	第4水準 	
怤 	2-12-41 	0xF2C7 	U+6024 	第4水準 	
㤚 	2-12-42 	0xF2C8 	U+391A 	第4水準 	
恌 	2-12-43 	0xF2C9 	U+604C 	第4水準 	
恿 	2-12-44 	0xF2CA 	U+607F 	第4水準 	
悊 	2-12-45 	0xF2CB 	U+608A 	第4水準 	
悕 	2-12-46 	0xF2CC 	U+6095 	第4水準 	
您 	2-12-47 	0xF2CD 	U+60A8 	第4水準 	
𢛳 	2-12-48 	0xF2CE 	U+226F3 	第4水準 	
悰 	2-12-49 	0xF2CF 	U+60B0 	第4水準 	
悱 	2-12-50 	0xF2D0 	U+60B1 	第4水準 	
悾 	2-12-51 	0xF2D1 	U+60BE 	第4水準 	
惈 	2-12-52 	0xF2D2 	U+60C8 	第4水準 	
惙 	2-12-53 	0xF2D3 	U+60D9 	第4水準 	
惛 	2-12-54 	0xF2D4 	U+60DB 	第4水準 	
惮 	2-12-55 	0xF2D5 	U+60EE 	第4水準 	
惲 	2-12-56 	0xF2D6 	U+60F2 	第4水準 	
惵 	2-12-57 	0xF2D7 	U+60F5 	第4水準 	
愐 	2-12-58 	0xF2D8 	U+6110 	第4水準 	
愒 	2-12-59 	0xF2D9 	U+6112 	第4水準 	
愓 	2-12-60 	0xF2DA 	U+6113 	第4水準 	
愙 	2-12-61 	0xF2DB 	U+6119 	第4水準 	
愞 	2-12-62 	0xF2DC 	U+611E 	第4水準 	
愺 	2-12-63 	0xF2DD 	U+613A 	第4水準 	
㥯 	2-12-64 	0xF2DE 	U+396F 	第4水準 	
慁 	2-12-65 	0xF2DF 	U+6141 	第4水準 	
慆 	2-12-66 	0xF2E0 	U+6146 	第4水準 	
慠 	2-12-67 	0xF2E1 	U+6160 	第4水準 	
慼 	2-12-68 	0xF2E2 	U+617C 	第4水準 	
𢡛 	2-12-69 	0xF2E3 	U+2285B 	第4水準 	
憒 	2-12-70 	0xF2E4 	U+6192 	第4水準 	
憓 	2-12-71 	0xF2E5 	U+6193 	第4水準 	
憗 	2-12-72 	0xF2E6 	U+6197 	第4水準 	
憘 	2-12-73 	0xF2E7 	U+6198 	第4水準 	
憥 	2-12-74 	0xF2E8 	U+61A5 	第4水準 	
憨 	2-12-75 	0xF2E9 	U+61A8 	第4水準 	
憭 	2-12-76 	0xF2EA 	U+61AD 	第4水準 	
𢢫 	2-12-77 	0xF2EB 	U+228AB 	第4水準 	
懕 	2-12-78 	0xF2EC 	U+61D5 	第4水準 	
懝 	2-12-79 	0xF2ED 	U+61DD 	第4水準 	
懟 	2-12-80 	0xF2EE 	U+61DF 	第4水準 	
懵 	2-12-81 	0xF2EF 	U+61F5 	第4水準 	
𢦏 	2-12-82 	0xF2F0 	U+2298F 	第4水準 	
戕 	2-12-83 	0xF2F1 	U+6215 	第4水準 	
戣 	2-12-84 	0xF2F2 	U+6223 	第4水準 	
戩 	2-12-85 	0xF2F3 	U+6229 	第4水準 	
扆 	2-12-86 	0xF2F4 	U+6246 	第4水準 	
扌 	2-12-87 	0xF2F5 	U+624C 	第4水準 	
扑 	2-12-88 	0xF2F6 	U+6251 	第4水準 	
扒 	2-12-89 	0xF2F7 	U+6252 	第4水準 	
扡 	2-12-90 	0xF2F8 	U+6261 	第4水準 	
扤 	2-12-91 	0xF2F9 	U+6264 	第4水準 	
扻 	2-12-92 	0xF2FA 	U+627B 	第4水準 	
扭 	2-12-93 	0xF2FB 	U+626D 	第4水準 	
扳 	2-12-94 	0xF2FC 	U+6273 	第4水準 	
2面13区
文字 	面区点 	Shift_JIS-2004 	Unicode 	水準 	備考
抙 	2-13-01 	0xF340 	U+6299 	第4水準 	
抦 	2-13-02 	0xF341 	U+62A6 	第4水準 	
拕 	2-13-03 	0xF342 	U+62D5 	第4水準 	
𢪸 	2-13-04 	0xF343 	U+22AB8 	第4水準 	
拽 	2-13-05 	0xF344 	U+62FD 	第4水準 	
挃 	2-13-06 	0xF345 	U+6303 	第4水準 	
挍 	2-13-07 	0xF346 	U+630D 	第4水準 	
挐 	2-13-08 	0xF347 	U+6310 	第4水準 	
𢭏 	2-13-09 	0xF348 	U+22B4F 	第4水準 	
𢭐 	2-13-10 	0xF349 	U+22B50 	第4水準 	
挲 	2-13-11 	0xF34A 	U+6332 	第4水準 	
挵 	2-13-12 	0xF34B 	U+6335 	第4水準 	
挻 	2-13-13 	0xF34C 	U+633B 	第4水準 	
挼 	2-13-14 	0xF34D 	U+633C 	第4水準 	
捁 	2-13-15 	0xF34E 	U+6341 	第4水準 	
捄 	2-13-16 	0xF34F 	U+6344 	第4水準 	
捎 	2-13-17 	0xF350 	U+634E 	第4水準 	
𢭆 	2-13-18 	0xF351 	U+22B46 	第4水準 	
捙 	2-13-19 	0xF352 	U+6359 	第4水準 	
𢰝 	2-13-20 	0xF353 	U+22C1D 	第4水準 	
𢮦 	2-13-21 	0xF354 	U+22BA6 	第4水準 	
捬 	2-13-22 	0xF355 	U+636C 	第4水準 	
掄 	2-13-23 	0xF356 	U+6384 	第4水準 	
掙 	2-13-24 	0xF357 	U+6399 	第4水準 	
𢰤 	2-13-25 	0xF358 	U+22C24 	第4水準 	
掔 	2-13-26 	0xF359 	U+6394 	第4水準 	
掽 	2-13-27 	0xF35A 	U+63BD 	第4水準 	
揷 	2-13-28 	0xF35B 	U+63F7 	第4水準 	
揔 	2-13-29 	0xF35C 	U+63D4 	第4水準 	
揕 	2-13-30 	0xF35D 	U+63D5 	第4水準 	
揜 	2-13-31 	0xF35E 	U+63DC 	第4水準 	
揠 	2-13-32 	0xF35F 	U+63E0 	第4水準 	
揫 	2-13-33 	0xF360 	U+63EB 	第4水準 	
揬 	2-13-34 	0xF361 	U+63EC 	第4水準 	
揲 	2-13-35 	0xF362 	U+63F2 	第4水準 	
搉 	2-13-36 	0xF363 	U+6409 	第4水準 	
搞 	2-13-37 	0xF364 	U+641E 	第4水準 	
搥 	2-13-38 	0xF365 	U+6425 	第4水準 	
搩 	2-13-39 	0xF366 	U+6429 	第4水準 	
搯 	2-13-40 	0xF367 	U+642F 	第4水準 	
摚 	2-13-41 	0xF368 	U+645A 	第4水準 	
摛 	2-13-42 	0xF369 	U+645B 	第4水準 	
摝 	2-13-43 	0xF36A 	U+645D 	第4水準 	
摳 	2-13-44 	0xF36B 	U+6473 	第4水準 	
摽 	2-13-45 	0xF36C 	U+647D 	第4水準 	
撇 	2-13-46 	0xF36D 	U+6487 	第4水準 	
撑 	2-13-47 	0xF36E 	U+6491 	第4水準 	
撝 	2-13-48 	0xF36F 	U+649D 	第4水準 	
撟 	2-13-49 	0xF370 	U+649F 	第4水準 	
擋 	2-13-50 	0xF371 	U+64CB 	第4水準 	
擌 	2-13-51 	0xF372 	U+64CC 	第4水準 	
擕 	2-13-52 	0xF373 	U+64D5 	第4水準 	
擗 	2-13-53 	0xF374 	U+64D7 	第4水準 	
𢷡 	2-13-54 	0xF375 	U+22DE1 	第4水準 	
擤 	2-13-55 	0xF376 	U+64E4 	第4水準 	
擥 	2-13-56 	0xF377 	U+64E5 	第4水準 	
擿 	2-13-57 	0xF378 	U+64FF 	第4水準 	
攄 	2-13-58 	0xF379 	U+6504 	第4水準 	
㩮 	2-13-59 	0xF37A 	U+3A6E 	第4水準 	
攏 	2-13-60 	0xF37B 	U+650F 	第4水準 	
攔 	2-13-61 	0xF37C 	U+6514 	第4水準 	
攖 	2-13-62 	0xF37D 	U+6516 	第4水準 	
㩳 	2-13-63 	0xF37E 	U+3A73 	第4水準 	
攞 	2-13-64 	0xF380 	U+651E 	第4水準 	
攲 	2-13-65 	0xF381 	U+6532 	第4水準 	
敄 	2-13-66 	0xF382 	U+6544 	第4水準 	
敔 	2-13-67 	0xF383 	U+6554 	第4水準 	
敫 	2-13-68 	0xF384 	U+656B 	第4水準 	
敺 	2-13-69 	0xF385 	U+657A 	第4水準 	
斁 	2-13-70 	0xF386 	U+6581 	第4水準 	
斄 	2-13-71 	0xF387 	U+6584 	第4水準 	
斅 	2-13-72 	0xF388 	U+6585 	第4水準 	
斊 	2-13-73 	0xF389 	U+658A 	第4水準 	
斲 	2-13-74 	0xF38A 	U+65B2 	第4水準 	
斵 	2-13-75 	0xF38B 	U+65B5 	第4水準 	
斸 	2-13-76 	0xF38C 	U+65B8 	第4水準 	
斿 	2-13-77 	0xF38D 	U+65BF 	第4水準 	
旂 	2-13-78 	0xF38E 	U+65C2 	第4水準 	
旉 	2-13-79 	0xF38F 	U+65C9 	第4水準 	
旔 	2-13-80 	0xF390 	U+65D4 	第4水準 	
㫖 	2-13-81 	0xF391 	U+3AD6 	第4水準 	
旲 	2-13-82 	0xF392 	U+65F2 	第4水準 	
旹 	2-13-83 	0xF393 	U+65F9 	第4水準 	
旼 	2-13-84 	0xF394 	U+65FC 	第4水準 	
昄 	2-13-85 	0xF395 	U+6604 	第4水準 	
昈 	2-13-86 	0xF396 	U+6608 	第4水準 	
昡 	2-13-87 	0xF397 	U+6621 	第4水準 	
昪 	2-13-88 	0xF398 	U+662A 	第4水準 	
晅 	2-13-89 	0xF399 	U+6645 	第4水準 	
晑 	2-13-90 	0xF39A 	U+6651 	第4水準 	
晎 	2-13-91 	0xF39B 	U+664E 	第4水準 	
㫪 	2-13-92 	0xF39C 	U+3AEA 	第4水準 	
𣇃 	2-13-93 	0xF39D 	U+231C3 	第4水準 	
晗 	2-13-94 	0xF39E 	U+6657 	第4水準 	
2面14区
文字 	面区点 	Shift_JIS-2004 	Unicode 	水準 	備考
晛 	2-14-01 	0xF39F 	U+665B 	第4水準 	
晣 	2-14-02 	0xF3A0 	U+6663 	第4水準 	
𣇵 	2-14-03 	0xF3A1 	U+231F5 	第4水準 	
𣆶 	2-14-04 	0xF3A2 	U+231B6 	第4水準 	
晪 	2-14-05 	0xF3A3 	U+666A 	第4水準 	
晫 	2-14-06 	0xF3A4 	U+666B 	第4水準 	
晬 	2-14-07 	0xF3A5 	U+666C 	第4水準 	
晭 	2-14-08 	0xF3A6 	U+666D 	第4水準 	
晻 	2-14-09 	0xF3A7 	U+667B 	第4水準 	
暀 	2-14-10 	0xF3A8 	U+6680 	第4水準 	
暐 	2-14-11 	0xF3A9 	U+6690 	第4水準 	
暒 	2-14-12 	0xF3AA 	U+6692 	第4水準 	
暙 	2-14-13 	0xF3AB 	U+6699 	第4水準 	
㬎 	2-14-14 	0xF3AC 	U+3B0E 	第4水準 	
暭 	2-14-15 	0xF3AD 	U+66AD 	第4水準 	
暱 	2-14-16 	0xF3AE 	U+66B1 	第4水準 	
暵 	2-14-17 	0xF3AF 	U+66B5 	第4水準 	
㬚 	2-14-18 	0xF3B0 	U+3B1A 	第4水準 	
暿 	2-14-19 	0xF3B1 	U+66BF 	第4水準 	
㬜 	2-14-20 	0xF3B2 	U+3B1C 	第4水準 	
曬 	2-14-21 	0xF3B3 	U+66EC 	第4水準 	
㫗 	2-14-22 	0xF3B4 	U+3AD7 	第4水準 	
朁 	2-14-23 	0xF3B5 	U+6701 	第4水準 	
朅 	2-14-24 	0xF3B6 	U+6705 	第4水準 	
朒 	2-14-25 	0xF3B7 	U+6712 	第4水準 	
𣍲 	2-14-26 	0xF3B8 	U+23372 	第4水準 	
朙 	2-14-27 	0xF3B9 	U+6719 	第4水準 	
𣏓 	2-14-28 	0xF3BA 	U+233D3 	第4水準 	
𣏒 	2-14-29 	0xF3BB 	U+233D2 	第4水準 	
杌 	2-14-30 	0xF3BC 	U+674C 	第4水準 	
杍 	2-14-31 	0xF3BD 	U+674D 	第4水準 	
杔 	2-14-32 	0xF3BE 	U+6754 	第4水準 	
杝 	2-14-33 	0xF3BF 	U+675D 	第4水準 	
𣏐 	2-14-34 	0xF3C0 	U+233D0 	第4水準 	
𣏤 	2-14-35 	0xF3C1 	U+233E4 	第4水準 	
𣏕 	2-14-36 	0xF3C2 	U+233D5 	第4水準 	
杴 	2-14-37 	0xF3C3 	U+6774 	第4水準 	
杶 	2-14-38 	0xF3C4 	U+6776 	第4水準 	
𣏚 	2-14-39 	0xF3C5 	U+233DA 	第4水準 	
枒 	2-14-40 	0xF3C6 	U+6792 	第4水準 	
𣏟 	2-14-41 	0xF3C7 	U+233DF 	第4水準 	
荣 	2-14-42 	0xF3C8 	U+8363 	第4水準 	
栐 	2-14-43 	0xF3C9 	U+6810 	第4水準 	
枰 	2-14-44 	0xF3CA 	U+67B0 	第4水準 	
枲 	2-14-45 	0xF3CB 	U+67B2 	第4水準 	
柃 	2-14-46 	0xF3CC 	U+67C3 	第4水準 	
柈 	2-14-47 	0xF3CD 	U+67C8 	第4水準 	
柒 	2-14-48 	0xF3CE 	U+67D2 	第4水準 	
柙 	2-14-49 	0xF3CF 	U+67D9 	第4水準 	
柛 	2-14-50 	0xF3D0 	U+67DB 	第4水準 	
柰 	2-14-51 	0xF3D1 	U+67F0 	第4水準 	
柷 	2-14-52 	0xF3D2 	U+67F7 	第4水準 	
𣑊 	2-14-53 	0xF3D3 	U+2344A 	第4水準 	
𣑑 	2-14-54 	0xF3D4 	U+23451 	第4水準 	
𣑋 	2-14-55 	0xF3D5 	U+2344B 	第4水準 	
栘 	2-14-56 	0xF3D6 	U+6818 	第4水準 	
栟 	2-14-57 	0xF3D7 	U+681F 	第4水準 	
栭 	2-14-58 	0xF3D8 	U+682D 	第4水準 	
𣑥 	2-14-59 	0xF3D9 	U+23465 	第4水準 	
栳 	2-14-60 	0xF3DA 	U+6833 	第4水準 	
栻 	2-14-61 	0xF3DB 	U+683B 	第4水準 	
栾 	2-14-62 	0xF3DC 	U+683E 	第4水準 	
桄 	2-14-63 	0xF3DD 	U+6844 	第4水準 	
桅 	2-14-64 	0xF3DE 	U+6845 	第4水準 	
桉 	2-14-65 	0xF3DF 	U+6849 	第4水準 	
桌 	2-14-66 	0xF3E0 	U+684C 	第4水準 	
桕 	2-14-67 	0xF3E1 	U+6855 	第4水準 	
桗 	2-14-68 	0xF3E2 	U+6857 	第4水準 	
㭷 	2-14-69 	0xF3E3 	U+3B77 	第4水準 	
桫 	2-14-70 	0xF3E4 	U+686B 	第4水準 	
桮 	2-14-71 	0xF3E5 	U+686E 	第4水準 	
桺 	2-14-72 	0xF3E6 	U+687A 	第4水準 	
桼 	2-14-73 	0xF3E7 	U+687C 	第4水準 	
梂 	2-14-74 	0xF3E8 	U+6882 	第4水準 	
梐 	2-14-75 	0xF3E9 	U+6890 	第4水準 	
梖 	2-14-76 	0xF3EA 	U+6896 	第4水準 	
㭭 	2-14-77 	0xF3EB 	U+3B6D 	第4水準 	
梘 	2-14-78 	0xF3EC 	U+6898 	第4水準 	
梙 	2-14-79 	0xF3ED 	U+6899 	第4水準 	
梚 	2-14-80 	0xF3EE 	U+689A 	第4水準 	
梜 	2-14-81 	0xF3EF 	U+689C 	第4水準 	
梪 	2-14-82 	0xF3F0 	U+68AA 	第4水準 	
梫 	2-14-83 	0xF3F1 	U+68AB 	第4水準 	
梴 	2-14-84 	0xF3F2 	U+68B4 	第4水準 	
梻 	2-14-85 	0xF3F3 	U+68BB 	第4水準 	
棻 	2-14-86 	0xF3F4 	U+68FB 	第4水準 	
𣓤 	2-14-87 	0xF3F5 	U+234E4 	第4水準 	
𣕚 	2-14-88 	0xF3F6 	U+2355A 	第4水準 	
﨓 	2-14-89 	0xF3F7 	U+FA13 	第4水準 	
棃 	2-14-90 	0xF3F8 	U+68C3 	第4水準 	
棅 	2-14-91 	0xF3F9 	U+68C5 	第4水準 	
棌 	2-14-92 	0xF3FA 	U+68CC 	第4水準 	
棏 	2-14-93 	0xF3FB 	U+68CF 	第4水準 	
棖 	2-14-94 	0xF3FC 	U+68D6 	第4水準 	
2面15区
文字 	面区点 	Shift_JIS-2004 	Unicode 	水準 	備考
棙 	2-15-01 	0xF440 	U+68D9 	第4水準 	
棤 	2-15-02 	0xF441 	U+68E4 	第4水準 	
棥 	2-15-03 	0xF442 	U+68E5 	第4水準 	
棬 	2-15-04 	0xF443 	U+68EC 	第4水準 	
棷 	2-15-05 	0xF444 	U+68F7 	第4水準 	
椃 	2-15-06 	0xF445 	U+6903 	第4水準 	
椇 	2-15-07 	0xF446 	U+6907 	第4水準 	
㮇 	2-15-08 	0xF447 	U+3B87 	第4水準 	
㮈 	2-15-09 	0xF448 	U+3B88 	第4水準 	
𣖔 	2-15-10 	0xF449 	U+23594 	第4水準 	
椻 	2-15-11 	0xF44A 	U+693B 	第4水準 	
㮍 	2-15-12 	0xF44B 	U+3B8D 	第4水準 	
楆 	2-15-13 	0xF44C 	U+6946 	第4水準 	
楩 	2-15-14 	0xF44D 	U+6969 	第4水準 	
楬 	2-15-15 	0xF44E 	U+696C 	第4水準 	
楲 	2-15-16 	0xF44F 	U+6972 	第4水準 	
楺 	2-15-17 	0xF450 	U+697A 	第4水準 	
楿 	2-15-18 	0xF451 	U+697F 	第4水準 	
榒 	2-15-19 	0xF452 	U+6992 	第4水準 	
㮤 	2-15-20 	0xF453 	U+3BA4 	第4水準 	
榖 	2-15-21 	0xF454 	U+6996 	第4水準 	
榘 	2-15-22 	0xF455 	U+6998 	第4水準 	
榦 	2-15-23 	0xF456 	U+69A6 	第4水準 	
榰 	2-15-24 	0xF457 	U+69B0 	第4水準 	
榷 	2-15-25 	0xF458 	U+69B7 	第4水準 	
榺 	2-15-26 	0xF459 	U+69BA 	第4水準 	
榼 	2-15-27 	0xF45A 	U+69BC 	第4水準 	
槀 	2-15-28 	0xF45B 	U+69C0 	第4水準 	
槑 	2-15-29 	0xF45C 	U+69D1 	第4水準 	
槖 	2-15-30 	0xF45D 	U+69D6 	第4水準 	
𣘹 	2-15-31 	0xF45E 	U+23639 	第4水準 	
𣙇 	2-15-32 	0xF45F 	U+23647 	第4水準 	
樰 	2-15-33 	0xF460 	U+6A30 	第4水準 	
𣘸 	2-15-34 	0xF461 	U+23638 	第4水準 	
𣘺 	2-15-35 	0xF462 	U+2363A 	第4水準 	
槣 	2-15-36 	0xF463 	U+69E3 	第4水準 	
槮 	2-15-37 	0xF464 	U+69EE 	第4水準 	
槯 	2-15-38 	0xF465 	U+69EF 	第4水準 	
槳 	2-15-39 	0xF466 	U+69F3 	第4水準 	
㯍 	2-15-40 	0xF467 	U+3BCD 	第4水準 	
槴 	2-15-41 	0xF468 	U+69F4 	第4水準 	
槾 	2-15-42 	0xF469 	U+69FE 	第4水準 	
樑 	2-15-43 	0xF46A 	U+6A11 	第4水準 	
樚 	2-15-44 	0xF46B 	U+6A1A 	第4水準 	
樝 	2-15-45 	0xF46C 	U+6A1D 	第4水準 	
𣜜 	2-15-46 	0xF46D 	U+2371C 	第4水準 	
樲 	2-15-47 	0xF46E 	U+6A32 	第4水準 	
樳 	2-15-48 	0xF46F 	U+6A33 	第4水準 	
樴 	2-15-49 	0xF470 	U+6A34 	第4水準 	
樿 	2-15-50 	0xF471 	U+6A3F 	第4水準 	
橆 	2-15-51 	0xF472 	U+6A46 	第4水準 	
橉 	2-15-52 	0xF473 	U+6A49 	第4水準 	
橺 	2-15-53 	0xF474 	U+6A7A 	第4水準 	
橎 	2-15-54 	0xF475 	U+6A4E 	第4水準 	
橒 	2-15-55 	0xF476 	U+6A52 	第4水準 	
橤 	2-15-56 	0xF477 	U+6A64 	第4水準 	
𣜌 	2-15-57 	0xF478 	U+2370C 	第4水準 	
橾 	2-15-58 	0xF479 	U+6A7E 	第4水準 	
檃 	2-15-59 	0xF47A 	U+6A83 	第4水準 	
檋 	2-15-60 	0xF47B 	U+6A8B 	第4水準 	
㯰 	2-15-61 	0xF47C 	U+3BF0 	第4水準 	
檑 	2-15-62 	0xF47D 	U+6A91 	第4水準 	
檟 	2-15-63 	0xF47E 	U+6A9F 	第4水準 	
檡 	2-15-64 	0xF480 	U+6AA1 	第4水準 	
𣝤 	2-15-65 	0xF481 	U+23764 	第4水準 	
檫 	2-15-66 	0xF482 	U+6AAB 	第4水準 	
檽 	2-15-67 	0xF483 	U+6ABD 	第4水準 	
櫆 	2-15-68 	0xF484 	U+6AC6 	第4水準 	
櫔 	2-15-69 	0xF485 	U+6AD4 	第4水準 	
櫐 	2-15-70 	0xF486 	U+6AD0 	第4水準 	
櫜 	2-15-71 	0xF487 	U+6ADC 	第4水準 	
櫝 	2-15-72 	0xF488 	U+6ADD 	第4水準 	
𣟿 	2-15-73 	0xF489 	U+237FF 	第4水準 	
𣟧 	2-15-74 	0xF48A 	U+237E7 	第4水準 	
櫬 	2-15-75 	0xF48B 	U+6AEC 	第4水準 	
櫱 	2-15-76 	0xF48C 	U+6AF1 	第4水準 	
櫲 	2-15-77 	0xF48D 	U+6AF2 	第4水準 	
櫳 	2-15-78 	0xF48E 	U+6AF3 	第4水準 	
櫽 	2-15-79 	0xF48F 	U+6AFD 	第4水準 	
𣠤 	2-15-80 	0xF490 	U+23824 	第4水準 	
