https://ja.wikipedia.org/wiki/JIS_X_0213%E6%BC%A2%E5%AD%97%E4%B8%80%E8%A6%A7%E3%81%AE2%E9%9D%A2
2面1区
文字 	面区点 	Shift_JIS-2004 	Unicode 	水準 	備考
儗 	2-03-03 	0xF142 	U+5117 	第4水準 	
儛 	2-03-04 	0xF143 	U+511B 	第4水準 	
𠑊 	2-03-05 	0xF144 	U+2044A 	第4水準 	
兠 	2-03-06 	0xF145 	U+5160 	第4水準 	
𠔉 	2-03-07 	0xF146 	U+20509 	第4水準 	
关 	2-03-08 	0xF147 	U+5173 	第4水準 	
冃 	2-03-09 	0xF148 	U+5183 	第4水準 	
冋 	2-03-10 	0xF149 	U+518B 	第4水準 	
㒼 	2-03-11 	0xF14A 	U+34BC 	第4水準 	
冘 	2-03-12 	0xF14B 	U+5198 	第4水準 	
冣 	2-03-13 	0xF14C 	U+51A3 	第4水準 	
冭 	2-03-14 	0xF14D 	U+51AD 	第4水準 	
㓇 	2-03-15 	0xF14E 	U+34C7 	第4水準 	
冼 	2-03-16 	0xF14F 	U+51BC 	第4水準 	
𠗖 	2-03-17 	0xF150 	U+205D6 	第4水準 	
𠘨 	2-03-18 	0xF151 	U+20628 	第4水準 	
凳 	2-03-19 	0xF152 	U+51F3 	第4水準 	
凴 	2-03-20 	0xF153 	U+51F4 	第4水準 	
刂 	2-03-21 	0xF154 	U+5202 	第4水準 	
划 	2-03-22 	0xF155 	U+5212 	第4水準 	
刖 	2-03-23 	0xF156 	U+5216 	第4水準 	
𠝏 	2-03-24 	0xF157 	U+2074F 	第4水準 	
剕 	2-03-25 	0xF158 	U+5255 	第4水準 	
剜 	2-03-26 	0xF159 	U+525C 	第4水準 	
剬 	2-03-27 	0xF15A 	U+526C 	第4水準 	
剷 	2-03-28 	0xF15B 	U+5277 	第4水準 	
劄 	2-03-29 	0xF15C 	U+5284 	第4水準 	
劂 	2-03-30 	0xF15D 	U+5282 	第4水準 	
𠠇 	2-03-31 	0xF15E 	U+20807 	第4水準 	
劘 	2-03-32 	0xF15F 	U+5298 	第4水準 	
𠠺 	2-03-33 	0xF160 	U+2083A 	第4水準 	
劤 	2-03-34 	0xF161 	U+52A4 	第4水準 	
劦 	2-03-35 	0xF162 	U+52A6 	第4水準 	
劯 	2-03-36 	0xF163 	U+52AF 	第4水準 	
劺 	2-03-37 	0xF164 	U+52BA 	第4水準 	
劻 	2-03-38 	0xF165 	U+52BB 	第4水準 	
勊 	2-03-39 	0xF166 	U+52CA 	第4水準 	
㔟 	2-03-40 	0xF167 	U+351F 	第4水準 	
勑 	2-03-41 	0xF168 	U+52D1 	第4水準 	
𠢹 	2-03-42 	0xF169 	U+208B9 	第4水準 	
